,0r,1r,2r,3r,4r,5r,6r,7r,8r,9r,10r,11r,12r,13r,14r,15r,16r,17r,18r,19r,20r,21r,22r,23r,0i,1i,2i,3i,4i,5i,6i,7i,8i,9i,10i,11i,12i,13i,14i,15i,16i,17i,18i,19i,20i,21i,22i,23i
5054,0.11620810222299864,-0.22224179302146466,0.06037368246174409,-0.149320654059553,0.1847256733971257,0.09726459892758275,0.046073867297372596,0.11515360206861021,-0.1438146205633835,-0.0739726073731091,0.007890471415354386,-0.07214920158435699,-0.05902901282570594,0.17986690562636717,-0.09451415694698458,0.13569307496731503,0.02932643340208809,-0.06686430340604149,0.04115988666841809,-0.00041609060875875606,-0.07764789148071052,0.06093951335941827,0.0008405325325220497,0.024566911082768497,0.0899972330137552,0.23446301261285307,-0.12643981263997014,0.1297071733717354,0.35520071582499824,0.04728356570847466,0.01180613797033216,0.21435128522769878,0.10018149522553199,-0.33894270486128314,-0.1894312374620122,0.04250520650796337,-0.1229663650981976,-0.052087360007814346,0.16157061242410645,-0.14734136564943437,0.02758568729428539,-0.014155196529844734,-0.06288578347610671,0.06351716579829952,-0.06382593700428867,-0.09041989439792213,-0.004418495507801012,-0.0129950355998149
5059,0.16828160616226118,-0.2791122616063887,0.03141457533108005,-0.20344190084897196,0.12952999372804255,0.09102614648810448,0.2147829119905351,0.1739136935816527,-0.19774057747925128,-0.010828562789738733,-0.08708657653189064,-0.1176404572174239,-0.112433941879135,0.18281188205117263,-0.074980233583395,0.14204549545737494,0.052262590690362154,-0.036182360785476035,0.034156556440889725,-0.04526144733453987,-0.05413847327604601,0.009834442858530726,0.014958521019698823,0.010707158116678505,0.11612993077788783,0.21146015140317942,-0.14135725082388753,0.18390569730895875,0.16779117578945799,-0.019037004236436464,-0.12399273867446652,0.0395645579544241,0.18304613442431122,-0.27771170498608694,-0.21633442148667725,0.06737358397772354,-0.12393711454642674,0.031238860434291863,0.2012138531955739,-0.18361603129966605,0.04029273461811834,0.005786326685844665,-0.08576485971340252,0.038536463731475894,-0.05894714784937565,-0.06055720927438992,0.007753382216832939,-0.0013495698835054699
5064,0.1738589346443552,-0.2631400090586092,0.020995892485501773,-0.21138802034628154,0.010333838806203574,0.03273070794415866,0.2719852420141933,0.19287986910107452,-0.20658698583671883,0.0612851525178466,-0.15340981535112982,-0.14791850180641758,-0.1394140952547024,0.16206389176420094,-0.04385410849759004,0.11652463896458368,0.0575465830219525,0.003641025184151704,0.01620104728695534,-0.07531664049007715,-0.011751803193359694,-0.04877280832012304,0.019570816656451915,-0.0005997133850459296,0.050567609667327484,0.18179814516741022,-0.12969338144223405,0.17456813130161497,-0.11549729868344702,-0.09632934739875865,-0.2349930379238409,-0.10092886873807351,0.22181412997061697,-0.20211055660149685,-0.18478372724661365,0.07556745991684348,-0.08137871720816196,0.11205990117351806,0.1997215954468582,-0.17997303420636743,0.05326516043483608,0.01732161104489769,-0.07241742485340069,0.0022032701725622707,-0.03710979184180597,-0.02138606901266365,0.015098204084150593,0.009206599923089155
5069,0.12961029652629666,-0.21254171985260006,0.03880730827211527,-0.1793366509838947,-0.139516303635708,-0.04663296218928135,0.19781510133224517,0.16711842168755467,-0.16451503373725052,0.11510653206595302,-0.17107373364983444,-0.1555588204524433,-0.12765398295246597,0.12604238198997847,0.001763039543875924,0.06980033481787506,0.04011638237424099,0.04292346992563752,-0.0023813087174646605,-0.08202456658236422,0.04024422754241811,-0.09917463688097877,0.013446518048928977,-0.00662598977009224,-0.07794521545011755,0.14305057353618558,-0.08912636877784456,0.10122002868201826,-0.40170243175437903,-0.14262696127661834,-0.2848637036144584,-0.1665289382388004,0.20302495752277291,-0.1447189538469991,-0.10938183681509926,0.0619764915884533,-0.01660767589005204,0.16152943439599002,0.15888901231607533,-0.1374224945574699,0.05955063502260194,0.01828515328367759,-0.027323564467287467,-0.035623922535289246,-0.004697576167520102,0.014159428186081948,0.01553099462837664,0.015862148944207462
5074,0.047158961148069924,-0.17256448068993174,0.08413484914882408,-0.125842355999093,-0.27585836391634305,-0.10883899000469201,0.02066522516172157,0.10543241684063927,-0.08169580843757579,0.1326901747029603,-0.1356708962812848,-0.13888555935512173,-0.07652218988332861,0.08600197008761745,0.05618252952237304,0.018672933156016074,0.005950303401741401,0.07326830690751915,-0.011829871953304255,-0.06443830736134931,0.08815776282406476,-0.12732614396418293,-0.00016082645689807423,-0.007038925645715795,-0.21672171232601953,0.09130310875791804,-0.03012970390119066,-0.012446478439854282,-0.5909478257679559,-0.1234593225617098,-0.2576396931827355,-0.14313746696696836,0.1319498590520471,-0.12494487553523755,-0.02056393640427664,0.028820510875368296,0.0390783621366547,0.1592239626641495,0.08941997110420068,-0.06922626701057867,0.05417852250138502,0.01023780918234875,0.034830740604649045,-0.06346151000521573,0.027214888873569792,0.035410601165812364,0.009603151355740266,0.017000691190732272
5079,-0.05142228903122316,-0.17384736277238955,0.14459561313987315,-0.07405449881922567,-0.3597152393748804,-0.12561482534317275,-0.1934837089935582,0.026818409984942417,0.018663678066765704,0.11196005633750512,-0.060867190978650156,-0.10233345964457084,0.0016362783252651578,0.05220465849160874,0.10542118408286404,-0.02056622669810127,-0.03044896781847199,0.08938483011533588,-0.007171279242290368,-0.02940313842236035,0.11840527426899874,-0.12560279158025764,-0.014974473202135938,-0.003755327907552868,-0.31005789930328215,0.025013344377121136,0.02784642560982326,-0.12615292282273038,-0.6156276531039712,-0.02686019794072105,-0.16571917080862053,-0.04924464778762391,0.03213807588330155,-0.14269123835405118,0.04709867166989982,-0.01434962249622908,0.056702074399144646,0.10173191322347185,0.008842493668685449,0.003896409345250148,0.037015165073033075,-0.002489021028783358,0.09448508025608693,-0.07191337088870586,0.04672591867370628,0.03785689935851659,6.745054588555616e-05,0.012812222791003566
5084,-0.14147218897104674,-0.2188057006647828,0.19961417058184847,-0.041961372864321805,-0.371143941958806,-0.09080192285867245,-0.36686629593176073,-0.046394953974788496,0.10855984749578595,0.0664695236308385,0.02606652541163468,-0.054868463975191045,0.0854767343981353,0.03082391677611452,0.1320753958322309,-0.03841852337293675,-0.05265666912813047,0.08967740615135236,0.009736352381213308,0.011258207248372077,0.12248745032877903,-0.09548683661263227,-0.02448843416059296,8.047374971195353e-05,-0.32153615750067727,-0.051342367523197936,0.06468959340557791,-0.19779604651698968,-0.46853277300699875,0.13049005418078713,-0.04642795319801287,0.07112092645243889,-0.06214516554035709,-0.18034925997184945,0.06848759165997373,-0.05385746756793632,0.021907201015977634,0.004987377462438209,-0.06323209537215446,0.06138688722484122,0.013657445683507156,-0.014681165018102174,0.1342610363142979,-0.056905384923113325,0.0456195127208028,0.024451007268804534,-0.009484482468741449,0.005227214809082106
5089,-0.20315905230748943,-0.2820898343973637,0.22700194029198678,-0.03521663771817169,-0.31482212077886856,-0.02201926997383233,-0.4382529999926379,-0.09528153369925972,0.16480637214905133,0.01900314132180252,0.09344870219204489,-0.007395572660012474,0.151756061135114,0.02280893978129667,0.12245623366661856,-0.0352223088931074,-0.04960623530829654,0.07565090791645225,0.031136921631442924,0.04502028508102924,0.10014601801214995,-0.04717169896647581,-0.0246898279286785,0.0014542976752427584,-0.24732390481347913,-0.1256039061894539,0.06806800914294481,-0.19849207679404404,-0.20736193586195414,0.30765154396975575,0.05097532896424939,0.1648943687054038,-0.11717807777968269,-0.21141664633509313,0.03710968718935072,-0.07669851672439676,-0.058217484237180546,-0.10043063817045442,-0.11045788622274293,0.0895839988442642,-0.006133731004371223,-0.022101704499004126,0.1445003917197747,-0.021183850630404347,0.02249371640284581,0.0039198021428299675,-0.016159845709346407,-0.0027418229352083735
5094,-0.22677557141165597,-0.32371907249684667,0.21099345098339833,-0.04476608414868828,-0.2169314727915943,0.047809466236886825,-0.38540460030637824,-0.10931656623644745,0.1772901449747458,-0.0082368756532421,0.11644789769622921,0.030106111830725434,0.18328364820043905,0.024473847220236808,0.07362990697588095,-0.02036967969764462,-0.020914419025977408,0.050893359685590334,0.046724361841927735,0.06297710964656768,0.05989546757166438,0.003545109542770302,-0.015794556026009637,-0.0012991723534489048,-0.11723648290351141,-0.17963958640823866,0.03891311262757076,-0.1238376723401491,0.06479238989515868,0.45220544111969213,0.08380751613498923,0.19043674560549773,-0.11187636933831506,-0.21209343780509193,-0.032529362560133404,-0.0754102375199914,-0.15579846354365623,-0.17944790826448345,-0.12457706039705312,0.08579575576190286,-0.012102415438576455,-0.022780624179184666,0.12606499492789436,0.026058964704651275,-0.01629575917166206,-0.013023665912947438,-0.018884958016215647,-0.008017405934637893
5099,-0.21389866451538989,-0.30947944014341494,0.14833058222275589,-0.05110075866950514,-0.11311381590349695,0.0863141366660766,-0.2309998875377863,-0.08781074835272774,0.1519607311245019,-0.003077786741168617,0.08603864831531124,0.05096954587250902,0.17436455592445832,0.02964850351051963,-0.0037001924334343892,-0.007563987103826765,0.022705773509131815,0.019802313463463676,0.04818629693964037,0.06254071297366652,0.015867194045991902,0.04062528872370629,-0.00205521482776357,-0.007920535165926,0.018887319923965112,-0.1946649625476529,-0.009406514803575036,0.004538796968856485,0.23971685470174567,0.5177665430186428,0.032793819817936186,0.13364168533249648,-0.04559279677124369,-0.17121399233886056,-0.11163366619353192,-0.050688747265615654,-0.2319355330027373,-0.20494848280500255,-0.10740852057308672,0.05765931821939441,0.002123419451923817,-0.017245785222530452,0.08886135872662579,0.07194024329028294,-0.05891049843459308,-0.018259329906730612,-0.01857788350433101,-0.008504653901921335
